Identifier,Title,NLI 1,NLI 2,Name of Author,Sex of Author,Year of Publication,Publisher,Number of Pages,Sub-Genre,Division within the Novel,Typical Chapter Length,Excerpts of Other Genres,Division to Paragraphs on a Typical Page,Type of Narrator,Role of Narrator in the Plot,"Narrator's Gender, Age, Religion",Characters in the Novel,Communication in the Novel,Number of Plot-lines,Novel's Exposition,Key Events,Fillers,Other Languages Used,The Bodies of Texts to which the Novel Reffers,Readability,Chronological Scope of the Novel,Main Epoch(s),Main Space(s),Main Geographical Location(s),Names of Places in the Novel,"Centrality of Israel (State, Land)",Themes,Centrality of Love,Type of Love,Intergenerational Relationships,Centrality of war,Which War,Death,Grammatical Tense
KR.Books.0085,"אף אחד, אף אחד אינו אוהב",990020829930205171,,אורה שם-אור,נקבה,1969,"אל""ף",202,רומן אוטוביוגרפי,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"אשה, ילדה או נערה, יהודי.ה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירוע-מפתח בולט אחד,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,3,שנה עד עשור,המחצית הראשונה של המאה ה-20,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיירה",מזרח אירופה ורוסיה,"פולין, ובעיקר העיירה צ'ורטקוב",מרכזית,"ילדות, התבגרות, משפחה, יחסים בין-דוריים, יהדות, ציונות, עוני ועושר, פערים מעמדיים, יחסי יהודים - לא-יהודים, הגירה, שואה, ספרות וכתיבה, בית-ספר",אין אהבה ברומן,,"אבות-בנות, אמהות-בנות",שולית,"השואה, אך לא כמלחמה אלא כאירוע היסטורי שממנו המספרת הצליחה לברוח בזמן",המוות אינו מרכזי ברומן,עבר
KR.Books.0086,אפשרות של אלימות,990035318830205171,,דרור משעני,נקבה,2013,כתר,259,"רומן חניכה, בלש",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,חודשיים עד אחד-עשר חודשים,המאה ה-21,עיר,"ישראל (ארץ, מדינה)",חולון,מרכזית,"גיל העמידה, פשע (רצח, שוד, וכו'), בתי משפט, בתי כלא, מוסדות חוק ואכיפה",שולית,אהבה שנעה לקראת כשלון והתפרקות,יחסים בין דוריים אינם מרכזיים ברומן,אין מלחמה ברומן,,רצח,עבר
KR.Books.0087,אצבעות של פסנתרן,990034259480205171,"סובול, יהלי ",יהלי סובול,זכר,2012,זמורה ביתן,224,"דיסטופיה, בלש",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,ספרות ישראלית (מ- 1948 ואילך),1,חודשיים עד אחד-עשר חודשים,העתיד,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר","ישראל (ארץ, מדינה)",תל-אבי,מרכזית,"נישואין, חתונה, יחסים בין-דוריים, אלימות פיסית, מילולית, מנטאלית, בתי משפט, בתי כלא, מוסדות חוק ואכיפה, ציונות, מוסר (אתיקה, שאלות מוסריות), מלחמה, פוליטיקה, מוסיקה, משטרה, מדינה",אין אהבה ברומן,,אמהות-בנים,מרכזית,מלחמה עתידית -- זוהי דיסטופיה,המוות אינו מרכזי ברומן,עבר
KR.Books.0088,ארבע ארצות,990036991250205171,"חרמוני, מתן ",מתן חרמוני,זכר,2014,"דביר, כנרת, זמורה ביתן",224,רומן חברתי,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),"כן, מכתבים",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, יהודי.ה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",יידיש,"ספרות עברית מתקופת ההשכלה ו/או התחייה, טקסטים מאת המחבר.ת עצמו.ה",1,חודשיים עד אחד-עשר חודשים,המאה ה-21,"דירה, בית מגורים, עיר","ישראל (ארץ, מדינה)","תל-אביב (על שמות רחובותיה, בעיקר במרכז, דיזינגוף ועוד)",שולית,"גירושין, גיל העמידה, עוני ועושר, מיניות, זהות מינית, יחסי מין, ספרות וכתיבה, הומור, בגידה",שולית,אהבה נכזבת,יחסים בין דוריים אינם מרכזיים ברומן,אין מלחמה ברומן,,המוות אינו מרכזי ברומן,זמנים דקדוקיים מעורבים
KR.Books.0089,ארבע מדברות ואחת שותקת,,,גבריאלה אביגור - רותם,נקבה,2020,"כנרת, זמורה ביתן",301,רומן חברתי,הרומן מחולק לחלקים/שערים/כרכים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),"כן, שירים","הטקסט מופיע כגוש אחד, ללא פסקאות",מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,"אשה, יהודי.ה",שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,כמה עשורים,המאה ה-21,"דירה, בית מגורים, עיר, מושב","ישראל (ארץ, מדינה)",,מרכזית,"נישואין, חתונה, גירושין, הלוויה, שבעה, סוף החיים, מוות, משפחה, זקנה, יחסים בין-דוריים, מצוקה גופנית, מחלה",שולית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,אמהות-בנות,שולית,ששת הימים ויום הכיפורים מוזכרות.,מחלה,זמנים דקדוקיים מעורבים
KR.Books.0090,ארבע מדברות ואחת שותקת,,,גבריאלה אביגור רותם,נקבה,2020,כנרת,301,רומן חברתי,הרומן מחולק לפרקים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),"כן, שירים","הטקסט מופיע כגוש אחד, ללא פסקאות",מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,אשה,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, טלפון",עלילה אחת תוך התייחסות לעלילות רבות מהעבר של הגיבורה וחברותיה,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,ספרות ישראלית (מ- 1948 ואילך),1,כמה עשורים,המאה ה-21,"דירה, בית מגורים","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, נישואין, חתונה, גירושין, הלוויה, שבעה, ילדות, התבגרות, גיל העמידה, סוף החיים, מוות, משפחה, זקנה, מצוקה גופנית, מחלה",מרכזית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,אמהות-בנות,שולית,"ששת הימים, יום כיפור",מחלה,הווה
KR.Books.0091,ארבע מדברות ואחת שותקת,,,גבריאלה אביגור רותם,נקבה,2020,כנרת,302,"רומן זרם-תודעה, רומן פסיכולוגי",הרומן מחולק לחלקים/שערים/כרכים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,"אשה, יהודי.ה",ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים, טלפון",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"שירים ישראליים, סרטי קולנוע קלאסיים",2,כמה עשורים,"המחצית השניה של המאה ה-20, המאה ה-21","דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, נישואין, חתונה, סוף החיים, מוות, זקנה, יחסים בין-דוריים, מצוקה גופנית, מחלה, בתי חולים, בתי אבות, מוסדות טיפוליים, ציונות, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית)",מרכזית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,"אמהות-בנים, אמהות-בנות",שולית,מלחמת יום כיפור,מחלה,הווה
KR.Books.0092,ארבעה אבות,990040504010205171,"זיו, אמיר , ",אמיר זיו,זכר,2017,עם עובד,,"רומן מכתבים, סאגה משפחתית",הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,בינוניות (אחד-עשר עד עשרים עמודים),"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,כמה עשורים,"המחצית השניה של המאה ה-20, המאה ה-21","דירה, בית מגורים, כלי תחבורה (למשל: מכונית, אוטובוס, משאית, מטוס, חללית וכו'), רחוב, כביש, דרך, שביל, מושב","ישראל (ארץ, מדינה)","ירושלים, תל אביב, פריז",מרכזית,"אהבה, משפחה, מצוקה נפשית, ספרות וכתיבה",מרכזית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,"אבות-בנים, אבות-בנות",אין מלחמה ברומן,,תאונה,הווה
KR.Books.0093,ארבעה בתים וגעגוע,990023771150205171,"נבו, אשכול ",אשכול נבו,זכר,2004,זמורה ביתן,361,רומן חברתי,הרומן מחולק לחלקים/שערים/כרכים,קצרות מאוד (עד שני עמודים),"כן, שירים",קשה להגדיר,מספרים מתחלפים,,,ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה","הרומן אינו מייחד מקום משמעותי לשפות אחרות, אבל פעם ב.. משולב מילה או שתיים באנגלית, כמו השפה העברית היומיומית .",,1,חודשיים עד אחד-עשר חודשים,"המחצית השניה של המאה ה-20, המאה ה-21","דירה, בית מגורים, מושב, התנחלות","ישראל (ארץ, מדינה)","תל אביב,",מרכזית,"אהבה, נישואין, חתונה, הלוויה, שבעה, משפחה, יחסים בין-דוריים, מצוקה נפשית, בתי חולים, בתי אבות, מוסדות טיפוליים, פערים מעמדיים, מוסר (אתיקה, שאלות מוסריות), הסכסוך הישראלי-פלסטיני, צה""ל",מרכזית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,קשה להגדיר,אין מלחמה ברומן,זה יותר מורכב כי אין מלחמה ספציפית אבל יש את המתיחות הפלסטינית ישראלית,מוות במלחמה,הווה
KR.Books.0094,ארבעה בתים וגעגוע,990023771150205171,"נבו, אשכול ",אשכול נבו,זכר,2004,זמורה ביתן,361,"רומן פסיכולוגי, רומן חברתי",הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות מאוד (עד שני עמודים),"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,ערבית,,1,חודשיים עד אחד-עשר חודשים,המחצית השניה של המאה ה-20,"דירה, בית מגורים, עיר","ישראל (ארץ, מדינה)","מעוז ציון, ירושלים, תל-אביב.",מרכזית,"אהבה, נישואין, חתונה, ילדות, משפחה, הסכסוך הישראלי-פלסטיני, מיניות, זהות מינית, יחסי מין",מרכזית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,"אבות-בנים, אמהות-בנים",אין מלחמה ברומן,,מוות במלחמה,זמנים דקדוקיים מעורבים
KR.Books.0095,ארזת לבד,997008105534305171,"שור, אסף ",אסף שור,זכר,2020,כתר,,"דיסטופיה, רומן פסיכולוגי, רומן חברתי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספרים מתחלפים,,,ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים, טלפון, דואר אלקטרוני",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),קשה להגדיר,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,3,כמה עשורים,"המאה ה-21, העתיד","כלי תחבורה (למשל: מכונית, אוטובוס, משאית, מטוס, חללית וכו'), עיר","ישראל (ארץ, מדינה)","נתב""ג",שולית,"אהבה, נישואין, חתונה, הלוויה, שבעה, ילדות, סוף החיים, מוות, זקנה, מצוקה גופנית, מחלה, בתי חולים, בתי אבות, מוסדות טיפוליים, תלישות, מדע, טכנולוגיה",שולית,אהבה שנעה לקראת כשלון והתפרקות,דוד-אחיינים; אחים,אין מלחמה ברומן,,"מחלה, התאבדות, אסון אוניברסלי",זמנים דקדוקיים מעורבים
KR.Books.0096,אריאדנה,,,שוש בריינר,נקבה,1990,הקיבוץ המאוחד,143,"רומן אוטוביוגרפי, רומן מכתבים, רומן פסיכולוגי, רומן מסע, שיבה הבייתה, דו״ח",הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, דיאלוגים מדומיינים, מכתבים ומברקים, דו״ח",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,"אקספוזיציה דחויה (מופיעה לאחר תחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"תיאורי נוף, דמויות ואווירה, תיאורים היסטוריים","יידיש, הונגרית","תנ""ך, מיתולוגיה יוונית, ספר שירה של רילקה",3,כמה עשורים,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","עיר, כפר","מזרח אירופה ורוסיה, הונגריה, צכיה","חוסט, צ׳כיה, בודפשט,",שולית,"אהבה, ילדות, משפחה, מצוקה גופנית, מחלה, אלימות פיסית, מילולית, מנטאלית, יהדות, פערים מעמדיים, שואה, פיוס והשלמה",שולית,קשה להגדיר,יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,שואה,"מחלה, רצח",זמנים דקדוקיים מעורבים
KR.Books.0097,ארץ עיר ילדה,990047941160205171,"גרייף-קנטורוביץ, אביגיל , ",אביגיל קנטרוביץ,נקבה,2019,מודן,326,"רומן אוטוביוגרפי, רומן חברתי",הרומן מחולק לפרקים,ארוכות (עשרים ואחד עד שלושים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,אשה,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים, טלפון, דואר אלקטרוני, הודעות SMS",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אין חומריים אקספוזיציוניים כלל (ללא רקע והסברים על הדמויות והנושאים שברומן),בעלילה אירוע-מפתח בולט אחד,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,הדמות הראשית חוקרת ספרות. ישנם ציטוטים מטקסטים שהיא חוקרת לתזה שלה על אמהות בספרות עברית. אביה חוקר שואה. יש קצת רפרנסים למחקריו.,2,שבוע עד חודש,"המחצית השניה של המאה ה-20, המאה ה-21","מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו')","ישראל (ארץ, מדינה)",תל אביב והשרון,מרכזית,"אהבה, ילדות, זקנה, יחסים בין-דוריים, מצוקה גופנית, מחלה, מצוקה נפשית, בתי חולים, בתי אבות, מוסדות טיפוליים, ציונות, שואה, פיוס והשלמה, ספרות וכתיבה, השכלה (לימודים), אמהות",שולית,אהבה הגוברת על מכשולים לקראת מימוש מוצלח,"אבות-בנות, אמהות-בנות",שולית,מלחמת העולם השנייה,מחלה,
KR.Books.0098,אשת הפיראט היהודי,990040722730205171,"שיינפלד, אילן ",אילן שיינפלד,זכר,2017,"דביר, כנרת, זמורה ביתן",494,רומן היסטורי,הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח רבים יחסית,"הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"תנ""ך, ספרות חז""ל (משנה, תלמוד, מדרש)",3,כמה עשורים,ימי הביניים,"עיר, ים, אגם, נהר, אי","צפון אפריקה, מערב אירופה, סקנדינביה וחצי האי האיברי, מרכז אמריקה ודרומה","פאס, אמסטרדם",שולית,"אהבה, נישואין, חתונה, משפחה, פשע (רצח, שוד, וכו'), יהדות, עוני ועושר, מוסר (אתיקה, שאלות מוסריות), הגירה, מסעות, נדודים, טיולים, פיוס והשלמה, מיניות, זהות מינית, יחסי מין, פוליטיקה",מרכזית,אהבה שנעה לקראת כשלון והתפרקות,"אבות-בנים, אמהות-בנים",שולית,מלחמות בים אחים במרוקו,רצח,עבר
KR.Books.0099,אשתו השנואה,990013124580205171,,יהודה בורלא,זכר,1928,מצפה,172,"סאגה משפחתית, רומן חברתי",הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה","יש פה ושם מילים או מושגים או חלקי משפט בערבית, לדינו, אנגלית",,1,כמה עשורים,"המחצית הראשונה של המאה ה-20, ליתר דיוק סוף המאה ה-19 עד שנות העשרים של המאה העשרים","דירה, בית מגורים, עיר","ישראל (ארץ, מדינה)","ירושלים, חברון, קהיר",מרכזית,"אהבה, נישואין, חתונה, משפחה, יחסים בין-דוריים, מצוקה נפשית",מרכזית,"אהבה בלתי מושגת, כמיהה לאהבה וחוסר יכולת לממש עקב נישואי נוחות","אבות-בנים, אבות-בנות, אמהות-בנים, אמהות-בנות, סבתות-נכדים",שולית,מלחמת העולם הראשונה,המוות אינו מרכזי ברומן,עבר
KR.Books.0100,את כל הילדים בעולם,990038233910205171,"ניצן, טל , ",טל ניצן,נקבה,2020,אחוזת בית,191,"רומן פסיכולוגי, אינני יודע.ת",קשה להגדיר,קצרות מאוד (עד שני עמודים),תכתובת באינטרנט,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספרים מתחלפים,,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,חודשיים עד אחד-עשר חודשים,המאה ה-21,"דירה, בית מגורים, עיר","ישראל (ארץ, מדינה)",גבעתיים,שולית,"אהבה, התבגרות, תלישות",שולית,חיפוש קשר,יחסים בין דוריים אינם מרכזיים ברומן,אין מלחמה ברומן,,המוות אינו מרכזי ברומן,עבר
KR.Books.0101,"באהבה, נטליה",,,רות אלמוג,נקבה,2005,כתר,260,רומן מכתבים,הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות מאוד (עד שני עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,דמות מרכזית אחת וכמה דמויות משנה,מכתבים ומברקים,"עלילה מרכזית, חייה של הגיבורה, ועלילות משנה קטנות נוספות",אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"אירועים פשוטים של יומיום, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,כמה עשורים,המחצית השניה של המאה ה-20,"דירה, בית מגורים, עיר","ישראל (ארץ, מדינה), צפון אמריקה (ארצות הברית וקנדה)","ירושלים, תל אביב, ניו יורק, טורונטו, מילנו",מרכזית,"אהבה, נישואין, חתונה, יחסים בין-דוריים, מצוקה גופנית, מחלה, עוני ועושר, מוסר (אתיקה, שאלות מוסריות), תלישות, הגירה, מסעות, נדודים, טיולים, מיניות, זהות מינית, יחסי מין, אמנות פלסטית",מרכזית,"אהבה שנעה לקראת כשלון והתפרקות, אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש",יחסים בין דוריים אינם מרכזיים ברומן,שולית,"מלחמת יום כיפור, אינתיפאדה, מלחמת לבנון הראשונה","מחלה, התאבדות",עבר
KR.Books.0102,באור חדש,990020069780205171,"מנצור, עטאללה ",עטאללה מנצור,זכר,1966,קרני,174,לא מתאים לקטגוריות הללו. אולי -- קרוב לרומן חברתי,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, מוסלמי.ת",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,ערבית,,1,חודשיים עד אחד-עשר חודשים,המחצית הראשונה של המאה ה-20,"כפר, קיבוץ","ישראל (ארץ, מדינה)",הקיבוץ והכפר -- שניהם בדיוניים,מרכזית,"אהבה, יחסי ערבים-יהודים, תלישות, פוליטיקה",מרכזית,קשה להגדיר,קשה להגדיר,מרכזית,בין יהודים לערבים -- מתח טרם קום המדינה,פוליטי,זמנים דקדוקיים מעורבים
KR.Books.0103,באין מטרה,990018580930205171,,ישעיהו ברשדסקי,זכר,1899,תושיה,238 (על פי קטלוג הספריה הלאומית),רומן חברתי,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,"אקספוזיציה דחויה (מופיעה לאחר תחילת הרומן, כגוש אחד)",בעלילה אירוע-מפתח בולט אחד,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,4,קשה לקבוע באופן חד-משמעי,המאה ה-19,עיר,מזרח אירופה ורוסיה,,שולית,"משפחה, ציונות, תלישות, השכלה (לימודים), ה""חדר"" (מוסד לימודי)",שולית,קשה להגדיר,"אבות-בנים, אבות-בנות, אמהות-בנים",אין מלחמה ברומן,,התאבדות,
